Provincias,Número de permisos de construcción,Número de edificaciones,Número de viviendas,Superficie del terreno (M2),Área total a construir (M2),Valor estimado de la edificación (dólares)
Nacional,26267,41426,48006,19565153,94827752,3364903013
Azuay,1325,1975,2939,1111124,573947,210904182
Bolívar,300,332,449,179038,71739,30547535
Cañar,584,593,675,364970,152164,43136851
Carchi,358,370,459,236963,71936,18770187
Cotopaxi,391,406,493,228043,102006,29285466
Chimborazo,884,1013,1836,372947,292622,83249394
El Oro,1283,1310,2014,504176,349341,99983055
Esmeraldas,147,157,178,51031,37130,12048537
Guayas,7808,8047,9011,3542919,18047662,661622111
Imbabura,1129,1518,1855,674016,282584,84862083
Loja,1737,2230,2593,975916,477130,140573059
Los Ríos,586,608,697,356415,144280,33522993
Manabí,1889,2616,3081,2042954,486509,161064973
Morona Santiago,418,432,541,364084,106559,29972777
Napo,146,159,184,96091,37426,11617754
Pastaza,231,254,324,121250,52481,16326845
Pichincha,2711,14280,14036,4270579,3050614,1273904380
Tungurahua,1552,1867,2486,1555524,552713,172430017
Zamora Chinchipe,491,508,793,294237,135985,38028897
Galápagos,169,170,231,125289,28401,18232773
Sucumbíos,331,349,600,241774,86931,22178964
Orellana,129,136,152,79074,43299,14187693
Santo Domingo de los Tsáchilas,1123,1512,1727,1373326,434978,119683522
Santa Elena,545,584,652,403413,107234,38768965
